negative,neutral,positive,페이지
15.980041129000002,1.234536854,19.808119788,1페이지
18.88358264,1.8083221059999999,17.613290241,2페이지
5.884345923000001,2.3467432940000004,5.223672686,3페이지
15.779421979,3.178426609,7.707008816999999,4페이지
11.817636426,2.4443134480000004,14.964475760999997,5페이지
11.383874458,1.911616161,11.740620490000001,6페이지
17.229085327,0.8120905099999999,16.899672899000002,7페이지
13.697619048000004,0.452614379,13.095144724,8페이지
11.044841270000001,1.254435107,18.545527544,9페이지
7.1486429209999995,4.197398925000001,11.185366389999999,10페이지
19.237535316000002,1.5391051709999997,27.474556730000003,11페이지
9.037826619,1.436952381,8.84699878,12페이지
5.483516484000001,1.0714285700000001,11.890109888000001,13페이지
21.438224758000004,3.1049555229999997,30.491615134999996,14페이지
25.755827956999994,3.1385027100000005,18.740112974,15페이지
21.334542286999998,0.925016717,19.287549713,16페이지
14.242268328000002,1.845078778,12.748691687,17페이지
9.675396825,1.435947712,5.506255835,18페이지
20.296257455000003,5.7652431580000005,27.954942893,19페이지
19.084825338999998,1.699186992,18.402479227999997,20페이지
24.899184045000002,1.555587958,16.761672307,21페이지
15.76395549,2.975396825,16.322397048,22페이지
10.740764791,1.664446991,15.338651217,23페이지
21.891651704000004,3.2214876909999997,26.617059151,24페이지
49.406683143000016,3.4023696410000004,46.015362775999996,25페이지
33.786051105,7.245275261,30.284676999000006,26페이지
18.339174321999998,1.4115361970000002,11.608219265999999,27페이지
12.507594186,2.26915005,14.954071329000001,28페이지
19.676690821999994,4.508781919,23.140890268,29페이지
21.239654399,5.174234610999999,22.15854394,30페이지
15.081684982,5.757936508,10.67579365,31페이지
