negative,neutral,positive,페이지
16.253913308,0.5929245129999999,15.511038498000001,1페이지
20.187844666,3.4483460210000003,15.261688804999999,2페이지
22.032844933,1.6713352000000001,22.409976296,3페이지
11.561599511,1.89345687,7.733789412999999,4페이지
20.917282609,2.714119659,21.951292852999998,5페이지
11.077411478,1.606349206,9.840109889999999,6페이지
18.360080248000003,2.497930748,13.751949511,7페이지
24.033618766,4.394742207,17.845860382999998,8페이지
26.720915620000007,2.00448671,15.277218077999997,9페이지
14.17554945,1.4246031749999999,8.308302807,10페이지
18.832991615000008,3.310637095,20.655818886,11페이지
16.321406269,3.35219968,14.637233965,12페이지
12.717975520999998,1.479528873,7.308278981999999,13페이지
