negative,neutral,positive,페이지
8.505685711,2.341351767,8.033459243000001,1페이지
4.8104700860000005,1.1415032680000001,5.5657491199999996,2페이지
19.589049839,1.998346425,15.696077124,3페이지
18.055917874000002,4.017512078,14.475010350000003,4페이지
5.73015873,0.686741363,4.203081232000001,5페이지
10.647058291999999,1.9381073130000002,18.367895237,6페이지
3.2009523809999996,0.056,5.25847619,7페이지
18.226523665000002,1.600381394,12.117175518999998,8페이지
6.928571429,1.133838384,4.95021645,9페이지
8.740579709,1.6202898559999999,5.262318841000001,10페이지
31.832038764999993,5.966184497,26.690863774,11페이지
18.903345417999997,1.171900106,21.085529964,12페이지
21.347371125,2.798973317,21.772198398000004,13페이지
11.483764275,5.050276521,13.081726638,14페이지
9.111111110000001,0.888888889,3.436507936,15페이지
26.893422348999998,2.171428572,21.301364763000002,16페이지
9.968245643,1.8475135980000001,5.908752358999999,17페이지
17.870833333,3.875,8.268452381,18페이지
23.545129869000004,7.006277056,25.149458873,19페이지
15.908885438000002,1.50998153,15.309223398000002,20페이지
12.160951867000001,1.143748608,18.719512989000002,21페이지
14.083131556000001,2.0100887810000003,9.867836963999999,22페이지
20.040521977999997,1.483516483,14.638965200000001,23페이지
39.627742519,4.923054071,15.005025433,24페이지
16.128846152999998,6.255089358000001,14.699764124999998,25페이지
3.0,0.5,3.0,26페이지
7.4082437279999995,1.26641065,5.863748079,27페이지
13.441218298999999,1.580681033,17.581191298000004,28페이지
17.378860028,4.997835498000001,9.528066379000002,29페이지
9.068298366,1.89040404,10.697047394999998,30페이지
15.766802643000002,5.486688965000001,14.799546857000001,31페이지
32.016279622,5.623896067,26.799898735999996,32페이지
24.149916514999997,5.607035597,35.604449599999995,33페이지
8.829232630999998,2.942838517,10.977561515000003,34페이지
12.797619048,0.333333333,14.590952381000001,35페이지
20.048431317000002,2.543106177,26.00916655,36페이지
