negative,neutral,positive,페이지
8.944047617999999,0.928571429,4.21468254,1페이지
10.420905923,0.669028261,7.091734416,2페이지
13.058080808000001,3.550505051,5.62950938,3페이지
29.900215836,3.198517443,34.685538148000006,4페이지
13.064178369,0.980625066,16.977263929000003,5페이지
18.856556246,2.612008281,18.377018633000002,6페이지
7.648272016999999,1.531400966,9.107129581999999,7페이지
9.883333334000001,0.402614379,12.635620915,8페이지
15.316324253000003,1.264572385,14.095626693000002,9페이지
23.479615385000002,1.7777948730000002,13.317358974000001,10페이지
10.621839309,0.9644782829999999,10.291146286,11페이지
26.002607556,1.670650169,23.314038257000007,12페이지
9.774450550000001,1.519464196,8.195419449,13페이지
17.838095236999997,6.198412699,14.622222222000001,14페이지
11.825244199000002,2.059146735,13.124784529000001,15페이지
13.738095238000001,1.087768441,8.326797385999999,16페이지
