negative,neutral,positive,페이지
39.267020557,3.838939611,43.035326909,1페이지
45.835478471,5.001162784,35.402841619,2페이지
59.207699641000005,6.434171187,47.557004319,3페이지
19.736123545999995,1.8171152510000002,19.947673227000003,4페이지
31.748958425999998,5.322569165,19.820061647000003,5페이지
26.149767961,3.196762345,22.652841883,6페이지
31.908206501000002,3.39980477,22.563659705,7페이지
37.980345764,4.31950295,30.694837294999996,8페이지
15.415623754,3.4950642429999994,15.602267390000002,9페이지
49.876342867,19.61814181,55.37794196,10페이지
