negative,neutral,positive,페이지
42.585452387000004,4.671220923000002,42.54866649399999,1페이지
25.023778999999998,8.007049486,24.702528191000003,2페이지
26.218060926000003,1.7147975520000003,17.444330918,3페이지
29.864743487000002,8.627774758,30.373302635,4페이지
44.041375847,3.4723059149999997,41.383675989999986,5페이지
14.520177044,2.071428571,13.281746031999997,6페이지
15.73966117,3.9243218010000005,23.93040795,7페이지
32.535830731999994,5.381093009,22.593549873000004,8페이지
4.266666667,1.066666667,3.914285714,9페이지
23.496398048000003,1.9425303460000003,19.942304102,10페이지
17.921683871,0.57060162,11.767698967000001,11페이지
17.014389067,2.9736271039999997,10.639884705,12페이지
5.4051282050000005,1.094017094,4.81086691,13페이지
18.002011826,2.1395206250000003,15.388592030000002,14페이지
13.457595183000002,4.688966590000001,14.900874126,15페이지
13.488237608,1.57845979,11.789281747000002,16페이지
6.616450216,1.979220778,12.101298700000003,17페이지
20.327263351999996,1.4992193940000003,21.783199153,18페이지
16.216795686999994,4.589923935999999,17.658569386000003,19페이지
10.315476191,0.68452381,17.907142856,20페이지
28.316384491999997,3.230569971,29.809462026999995,21페이지
11.488492062,2.598412697,11.448809523,22페이지
19.094482207000002,1.1071742260000002,24.459810839999996,23페이지
17.961111111,2.105392156,19.222128851,24페이지
20.605160017000003,4.060668168,21.923115444,25페이지
18.051521546,2.884395194,13.022131250000001,26페이지
13.618131354999997,4.783174016,11.540033678,27페이지
12.215730085,1.4918687050000001,11.193450691999999,28페이지
12.158234832000002,1.269579898,8.45452519,29페이지
26.377440675,2.287549408,21.729945417000003,30페이지
