negative,neutral,positive,페이지
8.013198757,0.670289855,9.54684265,1페이지
28.12848713,9.971164435999999,33.78153308499999,2페이지
10.493357486,3.845126456,17.681273089,3페이지
19.029270917,4.036329107999999,22.100781782,4페이지
29.106274450999997,6.726600477,31.966598379,5페이지
19.398550061999998,6.537535011999999,49.37728757799999,6페이지
11.636111111,3.021825396,14.176190476999999,7페이지
11.613946216999999,0.23252032500000003,9.952845528000003,8페이지
42.14800921900001,4.87026889,34.786085103,9페이지
4.183333333,0.7,7.450000001,10페이지
34.44959616799999,4.007570339000001,30.915200633,11페이지
18.303817946,5.3582031400000005,13.731202139999999,12페이지
11.749874178,1.2985015659999999,10.622109597,13페이지
5.712454214,1.176190476,8.54084249,14페이지
3.741666667,0.102564103,5.375641025,15페이지
16.621532091,2.742512077,16.865493442000002,16페이지
31.163764071000003,4.175242366,44.91379072000001,17페이지
8.392857143,1.392857143,8.309523809,18페이지
15.604163617,1.894773109,23.138763770999997,19페이지
14.487294141999998,3.517044529000001,13.200316854999999,20페이지
9.073260072000002,0.813675214,6.75067155,21페이지
28.02981658500001,0.679115252,26.076920793,22페이지
8.648913534,2.745678193,12.201458133000001,23페이지
9.646825396999999,2.753968252,19.607142856,24페이지
