negative,neutral,positive,페이지
6.660541023,0.7822345180000001,9.916822337000001,1페이지
15.736827062000001,2.727705628,16.204648130000002,2페이지
11.828373016,1.123015873,8.610119047,3페이지
16.513839784,1.7921350040000001,13.875595433000003,4페이지
44.95568488999999,7.2940307560000015,56.44426413300001,5페이지
16.656393645,1.413124408,10.135863657999998,6페이지
10.752881297,1.346480332,13.254779158000002,7페이지
19.902808303,2.268670545,13.432800402999998,8페이지
38.04490708099999,8.636469222,27.437198993000003,9페이지
14.577169247000002,4.800374236000001,15.956695002000002,10페이지
21.131746031000002,2.924603174,17.088095236999997,11페이지
19.885024153,1.026028561,12.643515421999998,12페이지
13.174297925000001,2.142857142,10.000366298000001,13페이지
24.503968252,4.122222222,18.349682539999996,14페이지
