negative,neutral,positive,페이지
11.118357487,1.710205822,9.549527056999999,1페이지
8.557529138,4.6075151519999995,8.332935064,2페이지
12.255584741000002,2.437707317,17.073691057,3페이지
8.715641026,2.0812307700000003,10.970798534,4페이지
22.028088660999995,2.3749777969999997,22.989044859000003,5페이지
4.6819902319999995,1.325019752,12.268038497000003,6페이지
13.316088663,1.3779886160000003,16.160722508,7페이지
14.82588788,1.015700483,15.900586612000003,8페이지
14.584520864999998,0.8614822670000002,24.686796191,9페이지
11.955944056000002,2.196719947,12.584149185000003,10페이지
29.65931253799999,3.3777349880000003,31.784613059000005,11페이지
10.290534223000002,2.7066127119999996,13.669640503999998,12페이지
36.384892232,6.107028559999999,26.765427935,13페이지
21.398064446999996,2.302083507,20.247779157,14페이지
37.472938131,3.326294929,29.562759062999998,15페이지
9.161123190999998,2.023687097,7.411412117,16페이지
