negative,neutral,positive,페이지
35.411981446,6.4019264499999995,34.206960296,1페이지
23.758282925,2.8729606039999998,21.02895161,2페이지
43.328349427000006,3.3691755949999997,36.470960573999996,3페이지
8.42461893,1.87912088,8.714917878000001,4페이지
26.249341794000003,5.148239814000001,22.575584472999996,5페이지
25.628830891999993,4.090332543,17.390872477000002,6페이지
31.040813336,1.8349759250000002,27.395180499000006,7페이지
16.301587302,1.791503268,11.364192344,8페이지
32.529993632,2.65147366,30.575744818999997,9페이지
17.778739883999997,2.5867631600000003,12.426301968999999,10페이지
16.416770186,4.2869565220000005,12.984937888,11페이지
7.789673321,4.6801587300000005,15.290001127000002,12페이지
6.612619047999998,2.031117646,9.933432304999998,13페이지
16.207657958,4.532558279,19.227500408,14페이지
