사는 게 이게 모양?!,빨간 고백,위닝샷!,집순이에 대하여,자작 보드게임 동아리,500원 토끼,솔의 일기,이래봬도2학년,대공녀는 거기에 없었다,범고래아가씨,"77년생, 열아홉",두남자일기,여기서 한잔할래?,좋아하는거 참으면 병나요!,딴 짓이 제일 재밌어,스토커의 하루,띵동! 도토리에요,마이데이,판타지 TV,만월에 핀 연꽃,전지적덕후시점,너와 나의 하늘색,너와 가까워지는 거리,어둠의 일상툰,하이스쿨 콤플렉스(마이동풍),함께 할 때까지,이세계 국밥 마스터,우당탕 입큰이,좀비랜드,내 매력에 퐁당,나타나주세요!,하루의 하늘,한 뼘 공포집,해피하우스,살인교사,템플러,직업 : 며느리,"뼈와 재, 불의 이야기",남편 먹는 여자,너와 나의 몰디브,체리 블러드,모두의 미아씨,158동 진상부부,공원여행,살인범과 산다,애포칼립스,미신반신,의대생 하루,하나리즈,식봉툰,국밥소녀
"('멋져용', 2)","('무서우', 1)","('짜릿하다', 2)","('아프겠어', 2)","('강력하게', 2)","('착하네', 2)","('안타깝고', 2)","('재밌다', 2)","('아니라서', 2)","('그러는지', 1)","('똑같네', 2)",,"('당연한', 2)","('무리하지말구요', 2)","('슬펐는데', 1)","('미친듯이', 1)","('재수없당', 2)","('성장하는게', 2)","('귀엽', 2)","('안타까운데', 2)","('힘들어요', 2)","('좋으하면', 2)","('깔끔하게', 2)","('아쉬워요', 2)","('힘들어요', 1)","('어려워', 1)","('마라', 1)","('통통해', 1)","('미쳤다', 2)","('재밌긴', 2)","('많으셨어요', 2)","('건강하게', 2)","('좋은데', 1)","('있다는것과', 2)","('충분하니까', 1)","('아프겠는', 1)","('예쁘게', 3)","('많으셨습니다', 2)","('그러', 1)","('슬픈거지', 2)","('미워하면', 2)","('같지', 2)","('좋으니', 1)",,,"('그럴것', 1)","('필요없어요', 1)","('좋겠', 1)","('아니냐고요', 2)","('젊을', 1)","('나쁜', 1)"
"('있었으면', 2)","('귀찮았던', 1)","('좋아하', 2)","('맑자', 2)","('기대했지만', 2)","('같으면', 2)","('있네요', 2)","('그랬었나', 2)","('같아서', 2)","('좋네요', 1)","('재밌는데', 2)",,"('같습니다', 2)","('작은', 2)","('아님', 1)","('넘쳐나네요', 1)","('재수없어', 2)","('안녕하세요', 2)","('우승해서', 2)","('미쳐', 2)","('비싸요', 2)","('불쌍해', 2)","('복잡하다', 2)","('어떠', 1)","('재밌어서', 1)","('그렇구나', 1)","('아닌데', 1)","('고마워', 1)","('이런게', 2)","('이뻐지시고', 2)","('이럴줄', 2)","('기대합니다', 2)","('거지같고', 1)","('잘났었다', 2)","('같앗어요', 1)","('유명해진다', 1)","('있었던', 3)","('조잡한거', 2)","('숨막히게', 1)","('허전하겠다', 2)","('불안하다', 2)","('어떤', 1)","('무서워서', 1)",,,"('아니라면', 1)","('없지', 1)","('좀신', 1)","('귀여운것', 2)","('있네', 1)","('불쌍해진다', 1)"
"('싫지만', 2)","('번했네', 1)","('순수하게', 2)","('저린', 2)","('달랐고', 2)","('신중해', 2)","('잘생겼다', 2)","('순수한', 2)","('심한', 2)","('재밌는데', 1)","('엄청나네요', 2)",,"('소중한', 2)","('아니예요', 2)","('편하게', 1)","('뛰어난', 1)","('조져', 2)","('아쉬워', 2)","('저리가요', 2)","('이뻐여', 2)","('없었으나', 2)","('슬프면서', 2)","('행복해', 2)","('독특해요', 1)","('잘생겼노', 1)","('미안했다', 1)","('진지한', 1)","('빵터졌어', 1)","('아니냐구요', 2)","('있네요', 2)","('그럴줄', 2)","('아니었던거야', 2)","('찜찜하게', 1)","('좋아했었다', 2)","('탄탄해지고', 1)","('검전부터', 1)","('같은데요', 3)","('완벽하다', 2)","('야해요', 1)","('어렵고도', 2)","('싫어요', 2)","('따뜻하고', 1)","('착하면', 1)",,,"('있기', 1)","('어이없는', 1)","('귀엽네', 1)","('없나', 2)","('예쁘게', 1)","('무섭네요', 1)"
"('있는게', 2)","('섭섭해', 1)","('아니라는', 2)","('끝없는', 2)","('그런거', 2)","('꼼꼼하게', 2)","('어떡하지', 2)","('이뿌네요', 2)","('잘생기면', 2)","('재밌어요', 1)","('이뻐서', 2)",,"('아니잖아요', 2)","('좋았음', 2)","('있겠네요', 1)","('깊으신', 1)","('없에', 2)","('반가웠어요', 2)","('불안함', 2)","('싫어요', 2)","('완벽히', 2)","('이쁠까', 2)","('재미있어요', 2)","('가능했으면', 1)","('같음', 1)","('싫테다', 1)","('괜찮을', 1)","('궁금해요', 1)","('안녕하세', 2)","('조아용', 2)","('죄송합니다', 2)","('깜찍해', 1)","('그랬으면', 1)","('찌질하', 2)","('있거든요', 1)","('아녀', 1)","('어려운', 3)","('있었고', 2)","('엄청나고', 1)","('힘든', 2)","('안되겠네', 2)","('다정한', 1)","('어떨까', 1)",,,"('불편했음', 1)","('재밌다', 1)","('다르게', 1)","('재밌게', 2)","('아프지도', 1)","('귀엽', 1)"
"('있었고', 2)","('아님', 1)","('재수없네', 2)","('충분히', 2)","('검은거가', 2)","('작다', 2)","('없다면', 2)","('빵터졌어요', 2)","('없으면서', 2)","('재밌당', 1)","('이쁘시네요', 2)",,"('같다고', 2)","('귀찮으셨구', 2)","('아플거', 1)","('다르게', 1)","('재수없', 2)","('서툴르지만', 2)","('성공해', 2)","('행복해졌으면', 2)","('맛있다고', 2)","('미안하고', 2)","('귀하고', 2)","('아쉽', 1)","('완벽하다', 1)","('편안히', 1)","('같음', 1)","('징징거리는데', 1)","('안녕히가세요', 2)","('부드럽게', 2)","('있게', 2)","('이뻐요', 1)","('좋겠도', 1)","('재밌잖아', 2)","('야한다', 1)","('야한다', 1)","('부럽', 3)","('작은', 2)","('재미있어요', 1)","('아니시구나', 2)","('좋겠', 2)","('궁금하고', 1)","('미쳤고', 1)",,,"('옳고', 1)",,"('재미있네요', 1)","('좋았어요', 2)","('아팠음', 1)","('평범한', 1)"
"('유명한', 2)","('아니지만은', 1)","('대단하다', 2)","('따뜻하게', 2)","('아니야', 2)","('싫테를', 2)","('끊임없이', 2)","('예쁘네요', 2)","('약한', 2)","('더운', 1)","('계시기', 2)",,"('그러는', 2)","('좋을까요', 2)","('예쁠거', 1)","('재미있게', 1)","('망했네', 2)","('같이있', 2)","('한심해', 2)","('싫었어', 2)","('이쁘다고', 2)","('힘들', 2)","('귀엽니', 2)","('없어', 1)","('같냐', 1)","('좋아하는', 1)","('재미없어지네', 1)","('안타깝게도', 1)","('같으면', 2)","('난잡하긴', 2)","('아니죠', 2)","('아니여', 1)","('어렵다', 1)","('행복하면', 2)","('아닐', 1)","('멋있다', 1)","('없지만', 3)","('없는데', 2)","('그렇지', 1)","('불쌍하네요', 2)","('뻔한', 2)","('배부르게', 1)","('따끈한', 1)",,,"('같아서', 1)",,"('빨간데', 1)","('사랑스러워요', 2)","('재밌다', 1)","('아닌게', 1)"
"('당하는', 2)","('두꺼워요', 1)","('재밌어서', 2)","('짠해', 2)","('당하고', 2)","('그럴', 1)","('다양해서', 2)","('훈훈해지는', 2)","('싫은가', 2)","('같았어요', 1)","('많아', 2)",,"('아닐까', 2)","('있으셨군요', 2)","('있으셔서', 1)","('꾸준히', 1)","('미친', 2)","('같으면', 2)","('좋고', 2)","('뿌듯한', 2)","('기이한', 2)","('재미있게잘', 2)","('안되냐', 2)","('잔인해', 1)","('조은', 1)","('있어여', 1)","('화해서라면서', 1)","('없더라고요', 1)","('미쳤나', 2)","('이쁜데', 2)","('궁금합니다', 2)","('귀여우셔', 1)","('기괴하네요', 1)","('저래되', 2)","('좋겠는데', 1)","('멋있', 1)","('싫다', 3)","('성공해야만', 1)","('착하다', 1)","('괜찮은', 2)","('아닙니까', 2)","('어려운', 1)","('아닌것', 1)",,,"('재밌게', 1)",,"('아니네', 1)","('궁금하네요', 2)","('없으면', 1)","('확실합니다', 1)"
"('당했던', 2)","('안되는데', 1)","('아쉽다', 2)","('재밌을것', 2)","('영원히', 2)","('없다', 1)","('시급하다', 2)","('어떻다니', 2)","('당연히', 2)","('괜찮데', 1)","('그렇', 2)",,"('그러시는데', 2)","('자랑스러울', 2)","('어려워요', 1)","('부탁드립니다', 1)","('좋아', 2)","('싫다', 2)","('안되네', 2)","('옳다', 2)","('아까울거', 2)","('좋고', 2)","('이런말하지말까', 2)","('부지런하게', 1)","('보야주셔야죠', 1)","('귀엽당', 1)","('흉포한', 1)","('재미있는', 1)","('있는거', 2)","('찡해서', 2)","('아니야', 2)","('삐뚤', 1)","('귀엽나', 1)","('무섭네요', 2)","('작인데에', 1)","('멋져요', 1)","('현명한', 3)","('성공하세요', 1)","('옳음', 1)","('아니었을', 2)","('안될', 2)","('피곤하네', 1)","('같아도', 1)",,,"('장하시는', 1)",,"('아무렇고', 1)","('기쁘셨겠어요', 2)","('없는거', 1)","('없길래', 1)"
"('있긴', 2)","('빵터짐', 1)","('재밌어용', 2)","('귀여운데', 2)","('두렵다', 2)","('많았어요', 1)","('안타까우면서', 2)","('그러는데', 2)","('아니야', 2)","('부럽다', 1)","('있나', 2)",,"('씁쓸했거든요', 2)","('없었는데', 2)","('흐뭇해', 1)","('좋겠다', 1)","('있을거', 2)","('저래', 2)","('계신데', 2)","('아니잖아요', 2)","('안될거', 2)","('있었다니', 2)","('행복해라', 2)","('귀여우셔요', 1)","('너무하세요', 1)","('애매한', 1)","('있는걸', 1)","('무서워', 1)","('좋겠음', 2)","('어지럽네요', 2)","('없어요', 2)","('똑같잖아', 1)","('아까워', 1)","('좋아해서', 2)","('싫테는', 1)","('없어요', 1)","('아닐까', 3)","('성공하냐고', 1)","('미쳐', 1)","('행복하신거죠', 2)","('이상한', 2)","('고맙긴', 1)","('이런게', 1)",,,"('확실해서', 1)",,"('없기를', 1)","('충분히', 2)","('없는데', 1)","('싫어하는데', 1)"
"('미안해인줄', 2)","('있었다니', 1)","('재밌어', 2)","('진지하고', 2)","('미치도록', 2)","('있었구나', 1)","('짠한것', 2)","('예쁘고', 2)","('그렇', 2)","('좋아', 1)","('있으시구나', 2)",,"('바쁘셔서', 2)","('기뻐서', 2)","('예쁠', 1)","('기대할게요', 1)","('같아용', 2)","('있을거라고', 2)","('나쁜', 2)","('불쌍하다', 2)","('있다가', 2)","('없나', 2)","('있든', 2)","('건전한', 1)","('그러니', 1)","('재미있어요', 1)","('멋지다', 1)","('고프신', 1)","('있으실', 2)","('풋풋하네용', 2)","('유일하게', 2)","('조은', 1)","('귀엽', 1)","('재밌', 2)","('탄탄한데', 1)","('아닙니까', 1)","('안되나', 3)","('맛있고', 1)","('잘생겼당', 1)","('같더라니', 2)","('하얀', 2)","('자연스러운거', 1)","('아닐까', 1)",,,"('가능하시겠다', 1)",,"('재밌는건', 1)","('예쁘셔요', 2)","('있음', 1)","('좋아하는', 1)"
