negative,neutral,positive,웹툰
186.49377813899994,36.46897155399999,181.43453108199998,사는 게 이게 모양?!
165.67949817000016,32.11874670900001,159.42526408599997,빨간 고백
333.50380239700013,78.78401196099995,365.9365226160004,위닝샷!
336.26141197800035,72.22142626999995,352.405035303,집순이에 대하여
353.4908059820001,85.72009569299995,366.50807664700017,자작 보드게임 동아리
329.29805176299976,54.953844385999986,380.24963587500065,500원 토끼
199.15041238700005,20.183166229,175.70579328699978,솔의 일기
227.60597557199998,30.828490173999988,227.40815140999968,이래봬도2학년
523.3953151800008,84.14944416899988,485.4403026800012,대공녀는 거기에 없었다
150.16504702,31.156811866999995,149.97801224300005,범고래아가씨
205.87926254700008,22.953214750999994,168.773173914,"77년생, 열아홉"
32.33110085199999,5.793999922000001,32.969590679999996,두남자일기
313.56376956500014,47.72169614399999,358.09540161900037,여기서 한잔할래?
247.19554768299986,44.590486918999986,286.328025694,좋아하는거 참으면 병나요!
74.73996269,18.756587422999996,100.15297852999997,딴 짓이 제일 재밌어
108.649778489,17.795526667999994,95.29491513599999,스토커의 하루
138.56532514699998,23.46340813999999,98.989381308,띵동! 도토리에요
500.23874207700027,62.879852495999955,435.13258996500053,마이데이
359.45950249100036,66.83010625600001,353.23694993,판타지 TV
406.17630688600036,53.115018707999965,414.5440134120002,만월에 핀 연꽃
539.4465612140002,103.65600905399994,587.6820133770007,전지적덕후시점
280.065830431,42.29350175599997,268.4967868849998,너와 나의 하늘색
631.8060963519998,92.89700528399986,555.0483164460013,너와 가까워지는 거리
221.06841816600004,42.810272784999974,217.79989476799977,어둠의 일상툰
183.54435662999992,32.632388708,168.86650182699984,하이스쿨 콤플렉스(마이동풍)
81.87098147500002,13.557774247000001,81.06488209899999,함께 할 때까지
114.74824274,21.013504404,115.084759355,이세계 국밥 마스터
121.237244785,30.29075966,114.68567617299995,우당탕 입큰이
252.6963764240002,35.22478042399997,211.93920670200006,좀비랜드
228.1296304719999,35.036046522,226.06568018699986,내 매력에 퐁당
688.1055796400005,124.59139609399973,641.6179566980019,나타나주세요!
148.51988201700007,43.21333914099998,170.58305412099995,하루의 하늘
58.13763988999998,16.033707837,43.52666126300001,한 뼘 공포집
102.77648974599998,17.27147271,116.713543049,해피하우스
206.9020307160001,30.898662586,175.23071988699994,살인교사
81.839144069,13.227936755999998,65.29573953,템플러
710.4643316009997,90.1897817119999,646.3358749520004,직업 : 며느리
156.34152201899994,24.330381556,184.6386072799999,"뼈와 재, 불의 이야기"
153.67024329,14.400171681999998,103.797725023,남편 먹는 여자
256.40996805299994,41.959924167,247.24888451999982,너와 나의 몰디브
211.55125753200005,34.81578634799999,171.32089493499984,체리 블러드
94.309900174,12.115953926999998,88.427900749,모두의 미아씨
111.14633153499999,18.236592006,128.079988813,158동 진상부부
51.84697889599999,6.503652354000002,41.10788113299999,공원여행
40.69195530199999,6.053203772000001,35.964544978,살인범과 산다
140.53886133100002,22.75590382100001,157.71400638900002,애포칼립스
84.14788085899998,7.989592336000001,75.01339023199996,미신반신
191.98283284800007,34.74683802399999,163.506762398,의대생 하루
355.99371217400096,57.73014962699999,334.87302547999997,하나리즈
126.44423906200001,19.110677897999995,116.76894878399999,식봉툰
156.13428554000006,29.709487742999986,131.532130283,국밥소녀
